title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,global_sales,Production Cost,release_year,Developer_metacritic_game_info,Genre_metacritic_game_info,Metascore_metacritic_game_info,Avg_Userscore_metacritic_game_info,No. of players_metacritic_game_info,releasedate_VGOutput,releasedate_raw,releasedate_quarter,releasedate_link,releasedate_1986-2023,Userscore,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30,component_31,component_32,component_33,component_34,component_35,component_36,component_37,component_38,component_39,component_40,component_41,component_42,component_43,component_44,component_45,component_46,component_47,component_48,component_49,component_50,component_51,component_52,component_53,component_54,component_55,component_56,component_57,component_58,component_59,component_60,component_61,component_62,component_63,component_64,component_65,component_66,component_67,component_68,component_69,component_70,component_71,component_72,component_73,component_74,component_75,component_76,component_77,component_78,component_79,component_80,component_81,component_82,component_83,component_84,component_85,component_86,component_87,component_88,component_89,component_90,component_91,component_92,component_93,component_94,component_95,component_96,component_97,component_98,component_99
NCAA Football 11,PS2,Sports,Electronic Arts,6.0,6.4,5.0,254.0,3.0,0.19,4.25,0.15,4.97,2.84,2010,,,,,,,,00:00:00,https://www.google.com/search?q=NCAA Football 11 PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAA Football 2001,PS,Sports,Activision,6.0,6.0,6.0,86.0,3.0,0.39,1.94,0.26,3.29,2.0,2000,,,,,,,,00:00:00,https://www.google.com/search?q=NCAA Football 2001 PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAA Football 2002,PS2,Sports,Activision,8.0,6.0,2.0,79.0,1.57,0.77,3.42,0.6,6.36,3.59,2001,EASports,Sports;Traditional;Football;Sim,90.0,8.5,Mutliplayer,,July 24th 2001,2001-07-24 00:00:00,https://www.google.com/search?q=NCAA Football 2002 PS2 NA release date,,9.214285714285714,0.08937113243781011,0.08298225410357958,0.0014015334172309058,-0.015443827004242213,-0.011184783109026833,0.01884813620881853,0.0032985188753220387,0.019077963187313366,0.0504651322860572,0.014812605658289695,0.008123818743248213,-0.01142806215911749,-0.009514300231466127,0.02342692314134506,0.02550346234896676,0.004343104477687162,-0.024024739819306768,-0.014839608104052425,-0.0016404311327807525,-0.025261122891553862,-0.012606422783597124,0.011343111771157858,-0.0152679334328356,-0.0165210539134781,0.007273571601174032,0.020189880115831265,0.012208165204047102,-0.022005628808584466,0.02252616557239722,-0.01330925099031406,-0.023899223059781406,0.0043924657592768175,0.008351973468951729,-0.0020532696882742747,0.014038385964787539,-0.03580629894682836,0.007908573096596656,-0.010347363138109944,-0.00025623928069130837,-0.028203002286690076,0.004855075581115717,0.0007005033045161595,-0.00012136093526147682,-0.023247006494061393,-0.034988411186511234,0.00012732366168636357,-0.01058405405288705,-0.014260386901771454,-0.012540025363630261,0.003061893405190436,-0.004699569449870925,0.011061038511140658,-0.006029197638366364,-0.0068266412290141,-0.005322980135541422,0.004559194265468959,0.004834810956212244,-0.0015430739616191058,0.004673915327168148,0.004758871074950405,0.0107094150373398,-0.001543398823797882,-0.0034249863577937934,0.0016608158349464349,0.0189165574072046,-0.00785759814559927,-0.0024917018949817443,0.0013229746617129192,-0.0014674023130256803,-0.002989114981063567,0.00700137978998749,-0.0020275165302587822,0.01863915563698904,0.001931102647235072,0.0045353845705341945,-0.007576253875653892,-0.0069766374756365926,-0.007236220996216065,0.01348886364935426,0.01271145559680176,-0.005946258881782548,-0.005171284341730301,0.002675317837412142,0.005917779939219782,-0.0034438108981843757,-0.0013966930145496005,-0.0016165654108342678,-0.008944424809715005,-0.00030516916959100947,-0.002130277082612008,0.00875352708202908,0.01657206344299302,0.011639951449444408,-0.0070894829194829605,-0.0025167188389339156,0.0013146921028393457,0.0002579627674176308,-0.0009131482469561927,-0.009306669458578358,-0.01293044858451699
NCAA Football 2003,PS2,Sports,Sony Computer Entertainment,6.0,7.0,6.0,8.0,1.44,1.16,5.44,0.08,8.12,5.09,2002,EASports,Sports;Traditional;Football;Sim,91.0,8.4,Mutliplayer,,July 23rd 2002,2002-07-23 00:00:00,https://www.google.com/search?q=NCAA Football 2003 PS2 NA release date,,9.38888888888889,0.1252026648944057,0.028187702890695325,-0.022528138011012253,0.16343194880390058,-0.06400781095108517,0.06437779964204451,-0.020982119898302884,0.026061758715978444,0.05575219349080878,-0.009166727506528131,-0.004222861490033067,-0.01021389320482753,-0.02706901742788373,-0.015013892535158798,0.02572691270202182,-0.03085132959038481,0.021329501205552655,0.016848333254753392,-0.016717080579709484,0.007461232623853582,0.0038271492005127303,0.005037547411732787,-0.013895920991806594,0.0026540670616969787,0.0033687548586272434,0.02501155461566438,0.007866142114754067,-0.015649326549117035,0.009063439699090726,0.000721806380763164,-0.014856215227546016,-0.006251766708475068,-0.008661732826192405,0.0021995375249736623,-0.00258840257750392,0.004833430791107887,-0.00677018020734172,-0.00630990685966954,-0.010652824990811077,-0.014083541964284222,-0.006189428562045267,0.0027278243387748747,-0.0025383468084192503,-0.008752170802283347,-0.01941495365158663,0.0006825092497523194,-0.010619388918801518,-0.0055945147433227845,-0.001376761939072466,-0.003941992173255267,0.0001623245427542572,0.017102529515653317,-3.220465016180266e-05,-0.004843814451290032,0.008663975652722037,-0.00226913239523527,-0.0031010273960269544,-0.0033601832399697243,0.013488902470004359,-0.009828622363581209,-0.002693156043196446,-0.014130974582842062,-0.013428167934565211,-0.005246299180651729,-0.006306931290199495,0.002230673848301003,0.007182569906083252,0.009468139171644662,-0.0036851564189194683,0.007309004175148562,0.009678655253190688,-0.0015444091651866162,0.007499273663858376,-0.008925823080801584,-0.004652551661768236,-0.006151161973320056,0.007882577322084194,-0.0061387074328295875,-0.0017541251992324264,-0.002278138851164808,0.0038284282512532682,0.0020107106222066956,0.0015807963648362356,-0.002518843294773877,-0.0076237961845908135,-0.0036909789664119124,0.0009185176343013281,-0.00182379978383676,-0.001942898286739341,0.015577541171541583,0.015149446355177001,0.008604991305991799,0.004983484727926455,0.005295261638712793,-0.005315365557188451,0.01769713280932157,-0.0008763379145547165,0.01720562778465952,-0.008203282357389291,-0.0050927490494963356
NCAA Football 2004,PS2,Sports,Electronic Arts,5.0,8.1,4.0,76.0,1.67,1.35,4.03,0.09,7.14,1.96,2003,EASports,Sports;Traditional;Football;Sim,94.0,8.7,Mutliplayer,"July 16, 2003",July 16 2003,2003-07-16 00:00:00,https://www.google.com/search?q=NCAA Football 2004 PS2 NA release date,,9.340425531914894,0.092508101132711,0.06924750958232266,-0.0039054669254539936,0.024083016899841245,-0.005909269197562956,0.03002856769965968,-0.014457487125669109,0.012820542198230098,0.025899456964087592,0.005651129836369298,0.01527576105861713,-0.023761462733738057,-0.020383475888624065,-0.01412151212251357,-0.0018131030716074337,0.006315292420367292,0.001288114999930455,0.007853775670416258,0.0038597003441296967,0.00034211076123537033,-0.012742272167648585,0.008460805926459454,-0.011354024488253192,-0.014166450980930646,-0.0014993988171012743,0.01845323380236679,0.0014575484090245078,-0.00957184538470354,0.01321660050595273,0.0070612417168114654,-0.017431453040025427,0.00987020973473094,-0.011207214658915268,0.01526701044579129,-0.01135185189593678,-0.005578079723341093,0.01542814025813146,0.0013035454890526568,-0.009350157153581177,-0.006291186746869503,-0.009633987984402015,0.007353428164005589,0.0017263439211701122,-0.009671473817443842,-0.012372538704593929,0.013526614266075104,-0.0024927756571787277,-0.014026801649462194,-0.005635343361259044,0.005819892853860886,-0.011178958916201869,0.003447957531685039,-0.007442282036958241,-0.010466523227469058,-0.004273175929547321,0.007442801065859141,0.0034990910695958236,0.0032407560560339227,0.010488343728562737,-0.00017225119378603686,0.01007210944476369,0.002876762363150382,0.001251817118493104,0.008645357262973368,0.009426655574749908,0.0023567301598602167,-0.007759700090572863,-0.0017132825473298874,0.0013491459954632155,-0.005717124775982652,0.0063528873513975445,-0.00400119543860578,0.005200350038902542,0.004052230035403618,-0.0004560671248724547,-0.0035756841033901627,0.0020862194473724805,0.00029652862184860224,0.003498582378938072,0.0023096790749541313,-0.0018306524539451995,-0.005065899780616268,0.0038180146400849588,0.0016574388241964405,-0.0021949864619883433,0.007778902105268325,-0.003325434242886108,-0.004903219908957197,0.00046101274879927325,0.0027960596182914892,-0.0005820512794286433,0.00424920247916497,0.004262021723187169,-0.00223228649064746,-0.0016601656355889536,0.0009541715135566037,-0.006787198730596704,0.0006764456125801987,-0.003921266876903714,-0.0037830001029488312
NCAA Football 2005,PS2,Sports,Ubisoft,8.0,7.0,3.0,59.0,1.62,1.32,3.72,0.09,6.75,1.4,2004,EATiburon,Sports;Traditional;Football;Sim,88.0,8.8,Mutliplayer,,July 15 2004,2004-07-15 00:00:00,https://www.google.com/search?q=NCAA Football 2005 PS2 NA release date,,9.08695652173913,0.14149912221959096,0.004511842112068232,-0.002872216331685844,0.01992859750706814,-0.012805435397916305,-0.04333662447553195,0.0055743232008364264,-0.003647080804754018,-0.017508595413348076,0.007493025325170898,0.00964467436458143,0.012674970517978291,-0.003031773038495623,0.011053327676950922,-0.005833048980616658,-0.0025362869964792147,-0.007860644881963169,0.008762986985755805,0.002849917026640551,-0.007567610012739229,-0.009935247290477288,0.005947411850504525,-0.00018413420228260616,-0.029633192859187592,-0.004962627222947308,0.02040751259632803,-0.02251438292535541,-0.013261876494592786,0.01047699964459341,0.039676879837372586,-0.0016693680055750062,-0.011804486927647389,-0.005504062909793479,0.010912517159480021,0.00356678772995756,0.01285128651638383,0.005837620792015043,0.004712157309970543,-0.005543275759375342,0.008504766289750304,0.0073382770050618214,0.011371198566697776,0.0478332403682588,-0.016704943454135944,-0.010706089638453715,0.03148287118882291,-0.02793595360670927,0.0075641840907738215,-0.022881019039808926,0.02835667094278616,0.00825838168616607,0.008639990939560934,0.009704191441427127,0.013554095107515169,-0.034020742959150495,0.03154904192850497,-0.0004750542282404297,-0.005652402351817653,-0.005449943207624288,-0.001985934222811851,-0.010556103895187985,0.004468044008892355,0.03940470468240448,0.038904131473062,-0.021222801095917967,0.0067618614479086625,-0.009173834025903958,-0.019673749372559664,0.007027549465512586,0.0342734994475138,0.025321007960661973,-0.03093527702853211,-0.0053310185946899265,-0.022500481841337818,-0.03673691432316639,0.0041780978012277955,0.02685849636180432,-0.017439770101027017,0.05030746654380798,-0.039872927777492954,0.07626245508852296,-0.008474645309571172,0.014428212851372845,-0.009425936019554215,0.018015250425406165,-0.0689591538209222,-0.0187627687905391,-0.026070972056216998,0.06268868742127955,-0.08835102593743423,-0.004265683485868308,0.023416187970741128,0.03338027008685981,-0.046008950168191565,-0.006989726466293863,-0.0044529134960002445,0.028467869468495565,0.04830710035856613,-0.032344008675318364,-0.04255538700752515
NCAA GameBreaker 2001,PS,Sports,Electronic Arts,6.0,6.0,9.0,239.0,3.0,0.18,5.71,0.12,6.34,1.71,2000,,,,,,,,00:00:00,https://www.google.com/search?q=NCAA GameBreaker 2001 PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAA GameBreaker 2001,PS2,Sports,Amazon Game Studios,1.0,10.0,1.0,72.0,3.0,0.07,1.81,0.06,2.09,3.99,2000,,,,,,,,00:00:00,https://www.google.com/search?q=NCAA GameBreaker 2001 PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAA GameBreaker 2003,PS2,Sports,Omega,1.0,8.0,3.0,60.0,3.0,0.11,2.52,0.09,2.95,2.21,2002,,,,,,,,00:00:00,https://www.google.com/search?q=NCAA GameBreaker 2003 PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAA GameBreaker 2004,PS2,Sports,Electronic Arts,3.0,3.0,7.0,4.0,3.0,0.11,3.84,0.09,4.27,3.01,2003,,,,,,,,00:00:00,https://www.google.com/search?q=NCAA GameBreaker 2004 PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAA March Madness 06,PS2,Sports,Electronic Arts,2.0,7.0,5.0,151.0,3.0,0.45,3.43,0.02,4.43,3.41,2005,EACanada,Sports;Traditional;Basketball;Sim,78.0,8.5,1 to 2,,October 12 2005,2005-10-12 00:00:00,https://www.google.com/search?q=NCAA March Madness 06 PS2 NA release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAA March Madness 07,PS2,Sports,Activision,4.0,7.0,10.0,26.0,3.0,0.28,2.71,0.22,3.77,0.02,2007,,,,,,,,00:00:00,https://www.google.com/search?q=NCAA March Madness 07 PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAA March Madness 08,PS3,Sports,Ubisoft,8.0,5.0,3.0,206.0,3.0,0.08,2.13,4.11,6.41,2.01,2007,,,,,,,,00:00:00,https://www.google.com/search?q=NCAA March Madness 08 PS3 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAA March Madness 08,PS2,Sports,Electronic Arts,3.0,9.0,2.0,161.0,3.0,0.13,1.26,0.1,1.75,1.76,2007,,,,,,,,00:00:00,https://www.google.com/search?q=NCAA March Madness 08 PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAA March Madness 2002,PS2,Sports,Activision,2.0,7.0,8.0,300.0,6.13,2.7,2.58,2.05,13.46,2.69,2002,,,,,,,,00:00:00,https://www.google.com/search?q=NCAA March Madness 2002 PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAA March Madness 2003,PS2,Sports,Sony Computer Entertainment,4.0,10.0,10.0,257.0,3.0,0.32,5.88,0.25,7.11,3.6,2002,,,,,,,,00:00:00,https://www.google.com/search?q=NCAA March Madness 2003 PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCAA March Madness 2004,PS2,Sports,Ubisoft,3.0,3.0,7.0,283.0,1.03,0.5,3.54,0.39,5.46,3.34,2003,NuFX,Sports;Traditional;Basketball;Sim,82.0,8.8,1 to 2,,November 17 2003,2003-11-17 00:00:00,https://www.google.com/search?q=NCAA March Madness 2004 PS2 NA release date,,9.666666666666666,0.10465674501462005,0.018431721983853067,0.13041904905178348,0.019627911222314828,-0.0017202823224384935,-0.040698304695921096,0.0258719687962191,-0.010335435691902413,-0.019001936136854275,0.009741946784105662,-0.013909382456035284,-0.028838058089620477,0.012327825880323637,0.012139034929814984,4.074744333426814e-05,0.00944378081089862,0.02203329855291392,0.0043885129926192765,0.02209581269474489,-0.01845878470729721,-0.010901477522087135,-0.017100167807131642,0.014045968524510729,-0.005253683350066384,-0.029186271727339213,-0.022126288545431548,-0.007850088530101787,-0.01162114740917425,-0.005323366656259053,0.01985660516242626,-0.00276528842193614,0.0038014045074964103,0.0008448053141527911,-0.0032373779614595674,0.015989572566175333,-0.006498141966981792,0.013002409769615855,-0.01033755012347475,-0.045639179517560025,-0.0048154542259149676,-0.06809898670967568,0.014088372706158085,0.012159663982602415,-0.033673833345675766,0.021148389702369486,0.008082052535335135,0.03905438371226401,-0.018859846707496894,0.02284860411167426,0.02005007029590514,-0.003740059977275582,0.017845246212660287,0.0130074842105398,0.03807139891279063,0.02610021644108249,-0.04368354728148013,-0.03613821946797156,-0.05937292254064931,-0.025545614882263052,0.041998357915129306,0.011669551942749693,0.014439369707240194,-0.02492543429236684,-0.0019982331332670323,-0.0032017210735702547,-0.004502647287359992,0.005222644551069937,0.030833087135086153,-0.010063720598938416,-0.002249556423020866,-0.03018629004747612,0.021009316689142084,-0.0007865528522135503,0.03275693900457321,-0.0008753802308920027,-0.008566544018097037,0.019164626924208106,-0.012649269028368501,0.0027541172321305187,0.021119234711323112,-0.007784832766610003,-0.014290100465192544,0.02064823911113037,-0.016319149326160815,-0.006743357867347107,0.005883105245361863,0.028350973763867762,0.007912598359754629,0.014781820930201774,-0.013051625153452559,0.01340599798539447,-0.01571259435838344,-0.0016730566735100717,-0.00792328376976156,0.006424661152318917,0.005169822622252748,0.015210108019657522,0.005081132220904307,0.0033016759685046866,0.004024051191861837
NCAA March Madness 2005,PS2,Sports,Electronic Arts,4.0,2.0,4.0,150.0,3.0,0.44,4.04,0.02,5.03,5.11,2004,EACanada,Sports;Traditional;Basketball;Sim,78.0,8.3,1 to 2,,November 16 2004,2004-11-16 00:00:00,https://www.google.com/search?q=NCAA March Madness 2005 PS2 NA release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCIS,PS3,Adventure,Ubisoft,6.0,7.0,9.0,115.0,3.0,0.07,5.69,0.04,5.92,3.75,2011,,,,,,,,00:00:00,https://www.google.com/search?q=NCIS PS3 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nearwood,PC,Adventure,Sony Computer Entertainment,9.0,3.0,10.0,214.0,1.92,1.55,4.97,2.45,10.89,4.38,2014,,,,,,,,00:00:00,https://www.google.com/search?q=Nearwood PC release date,2013-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necronomicon The Dawning of Darkness,PS,Adventure,Ubisoft,1.0,4.0,3.0,288.0,5.6,7.08,1.38,6.19,20.25,2.07,2001,,,,,,,,00:00:00,https://www.google.com/search?q=Necronomicon The Dawning of Darkness PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necronomicon The Gateway to Beyond,PC,Adventure,Activision,6.0,8.0,5.0,74.0,3.29,1.45,2.84,3.08,10.66,2.15,2001,,,,,,,,00:00:00,https://www.google.com/search?q=Necronomicon The Gateway to Beyond PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necrovision,PC,Shooter,Amazon Game Studios,2.0,7.0,5.0,22.0,1.19,3.69,1.7,0.01,6.59,1.68,2009,,,,,,,,00:00:00,https://www.google.com/search?q=Necrovision PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need for Speed Hot Pursuit 2,PC,Racing,Frontier Developments,10.0,6.7,9.0,174.0,4.29,2.73,2.12,1.63,10.77,1.48,2002,,,,,,,,00:00:00,https://www.google.com/search?q=Need for Speed Hot Pursuit 2 PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need for Speed Hot Pursuit 2,PS2,Racing,Frontier Developments,4.0,8.7,5.0,285.0,2.11,1.68,0.02,0.31,4.12,3.11,2002,BlackBox,Driving;Racing;Arcade,89.0,8.4,1 to 2,,October 1 2002,2002-10-01 00:00:00,https://www.google.com/search?q=Need for Speed Hot Pursuit 2 PS2 NA release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need for Speed Most Wanted,PS2,Racing,Electronic Arts,1.0,8.6,7.0,50.0,4.37,2.03,0.08,1.79,8.27,3.22,2005,EACanada,Driving;Racing;GT / Street,82.0,8.9,1 to 2,,2005-11-15 00:00:00,2005-11-15 00:00:00,https://www.google.com/search?q=Need for Speed Most Wanted PS2 NA release date,,8.891891891891891,0.1007236089594292,0.031100997196636553,0.027033885168781042,0.007925157977668565,0.003096501762198278,0.001659164128449093,0.004442729582660138,0.00815457822915574,-0.0009744211853209143,0.002758175038712942,-0.0009822353015354844,-0.008362212123791984,-0.014546160849529467,-0.009189154186673642,0.008445553143766424,0.007149365672112086,-0.005879238242632079,0.004098243732474629,-0.00525847120853869,0.0017706318700390546,0.0068721463315524756,-0.003716761912120981,0.0016311581527846514,0.0038294194468265087,-0.0032375159567749247,0.00995371282156357,0.0039053242782536375,1.0918349695339337e-05,0.01608705779845076,-0.0056919588167429576,-0.0017400033821758428,0.0013198843205662568,-0.004273259711674742,-0.002912704825327026,-0.0061300953033853675,-0.004383631271387161,0.006987016329041089,0.01396368793852741,0.001885003840780887,-0.002892510482261851,-0.007229802819818007,0.0008562812664585754,-0.0014595303202439732,0.005737444139559656,0.002931512992410221,-0.0044344784783596465,0.002254780308595213,-0.012036560030876869,0.00013424757457122628,-0.003201575266618113,-0.0021850915057018967,0.00744134515443978,0.00015231277082409925,-0.0016917744809881242,-0.0037598559537720985,0.00675479490584274,0.009541495737903086,0.0012437035641744136,-0.0037670191118627833,-0.00013927662282686094,0.003296419020518745,0.006692614231213175,0.0020621509914766686,-0.0032440898536097618,-0.009744124841871283,0.00825418666300267,0.006360337201577508,-0.0019746973724530984,-0.002308589896424,0.009494621329195502,-0.004670107849980544,-0.007872067572198972,0.006282654794317583,-0.007575720342598873,0.0033075665238375554,-0.005512167188743659,0.003095420406138457,-0.005307018872908694,-0.006231680229886008,-0.00930311499216948,0.01060359039229926,-0.0018356639440319281,0.004073205806656615,0.0038728554018348143,0.004083485779590118,0.004280973821346132,0.0019081238464586539,0.007907276398393021,0.010450636513895193,0.004866100415439137,-0.0036877219245371696,-0.0048370510025346715,-0.004227580786999741,0.001966978299614214,0.0066871540253131264,-0.007216792365722909,-0.0029934699200472137,0.0003559702316354477,-0.0012938770289855658,-0.0010518040698122965
Need for Speed Most Wanted,PC,Racing,Frontier Developments,6.0,10.0,5.0,127.0,3.0,0.02,5.55,0.24,6.09,3.33,2005,BlackBox,Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,82.0,8.5,1 to 4,,November 15 2005,2005-11-15 00:00:00,https://www.google.com/search?q=Need for Speed Most Wanted PC NA release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need for Speed Most Wanted,DS,Racing,Sony Computer Entertainment,6.0,10.0,9.0,138.0,3.0,0.24,4.66,0.01,5.18,2.08,2005,,,,,,,,00:00:00,https://www.google.com/search?q=Need for Speed Most Wanted DS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need for Speed Most Wanted (2012),PC,Racing,Frontier Developments,6.0,10.0,9.0,215.0,3.0,4.83,1.07,0.06,6.03,3.57,2012,,,,,,,,00:00:00,https://www.google.com/search?q=Need for Speed Most Wanted (2012) PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need for Speed Most Wanted 5 1 0,PS,Racing,Electronic Arts,5.0,7.4,2.0,165.0,4.93,1.76,5.84,5.02,17.55,3.82,2009,,,,,,,,00:00:00,https://www.google.com/search?q=Need for Speed Most Wanted 5 1 0 PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need for Speed Nitro,DS,Racing,Ubisoft,9.0,7.2,10.0,273.0,3.0,0.21,5.93,0.13,6.65,2.7,2009,,,,,,,,00:00:00,https://www.google.com/search?q=Need for Speed Nitro DS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need for Speed Payback,PC,Racing,Frontier Developments,8.0,6.5,4.0,235.0,3.0,4.65,4.99,0.02,9.68,2.17,2017,,,,,,,,00:00:00,https://www.google.com/search?q=Need for Speed Payback PC release date,2017-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need for Speed Porsche 2000  Moto Racer 2,PS,Racing,Ubisoft,1.0,3.0,8.0,144.0,5.82,4.01,5.39,6.35,21.57,2.66,2002,,,,,,,,00:00:00,https://www.google.com/search?q=Need for Speed Porsche 2000  Moto Racer 2 PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need for Speed Porsche Unleashed,PC,Racing,IBM,8.0,6.0,3.0,138.0,3.06,3.35,2.0,5.33,13.74,5.17,2000,,,,,,,,00:00:00,https://www.google.com/search?q=Need for Speed Porsche Unleashed PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need for Speed Porsche Unleashed,PS,Racing,Electronic Arts,4.0,10.0,2.0,256.0,3.0,0.43,1.69,0.29,3.18,3.0,2000,EdenStudios,Driving;Racing;Arcade,78.0,8.2,1 to 2,,March 24 2000,2000-03-24 00:00:00,https://www.google.com/search?q=Need for Speed Porsche Unleashed PS NA release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
