Title,Platform,Genre,Publisher,VGScore,CriticScore,UserScore,TotalShipped,AsianSales,NorthAmericaSales,JapanSales,EuropeSales,GlobalSales,ProductionCost,ReleaseYear_v1,Developer,MultipleGenre,MetaScore,AvgUserScore,NoOfPlayers,releasedate_1986-2023,releasedate_VGOutput,releasedate_raw,ReleaseDate,releasedate_link,ReleaseYear,ReleaseMonth,EndOfMonth,ReleaseQuarter,ReleaseWeekDay,ReleaseWeekend,ReleaseWeek
I O,PS2,Adventure,Amazon Game Studios,1,5,9,269,3.86,1.9,1.52,5.37,12.65,2.45,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=I O PS2 release date,,,,,,,
I Spy Fun House,DS,Puzzle,Frontier Developments,3,6,1,106,3,0.76,2.61,6.77,10.96,5.45,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=I Spy Fun House DS release date,,,,,,,
I Spy Treasure Hunt,PC,Puzzle,Sony Computer Entertainment,5,7,10,155,6.97,7.17,4.06,6.02,24.22,2.69,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=I Spy Treasure Hunt PC release date,,,,,,,
I.Q. Remix  Intelligent Qube,PS2,Puzzle,IBM,4,1,3,75,3,1.71,0.04,3.63,5.42,4.66,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=I.Q. Remix  Intelligent Qube PS2 release date,,,,,,,
iCarly,DS,Adventure,Electronic Arts,7,6,3,153,3,0.67,5.48,0.01,6.89,1.76,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=iCarly DS release date,,,,,,,
iCarly iDream in Toons,PC,Adventure,Ubisoft,4,4,10,152,2.65,1.39,4.52,3.62,12.18,4.35,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=iCarly iDream in Toons PC release date,,,,,,,
iCarly 2 iJoin The Click ,DS,Adventure,Activision,8,1,1,233,3,0.25,5.54,1.22,7.28,4.3,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=iCarly 2 iJoin The Click  DS release date,,,,,,,
Ice Lakes,PC,Simulation,Ubisoft,7,6,10,0.11,1.6,1.48,2.61,1.71,7.4,5.67,2016,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Ice Lakes PC release date,,,,,,,
Ichigeki Sacchuu  HoiHoi San,PS2,Shooter,Electronic Arts,10,3,5,265,3.36,4.76,3.74,2.27,14.13,1.98,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Ichigeki Sacchuu  HoiHoi San PS2 release date,,,,,,,
Ichigo 100% Strawberry Diary,PS2,Adventure,Ubisoft,4,7,5,233,5.97,6.11,5.71,5.54,23.33,0.01,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Ichigo 100% Strawberry Diary PS2 release date,,,,,,,
ICO,PS2,Adventure,Omega,8.8,8.8,9,152,3,0.23,2.6,0.18,3.48,2.34,2001,SCEJapanStudio,Action Adventure;Fantasy,90,8.8,1,,#N/A,September 25 2001,25/9/2001,https://www.google.com/search?q=ICO PS2 NA release date,2001,9,Yes,3,2,Weekday,39
Ico Soccer,DS,Sports,IBM,9,3,4,95,4.33,4.43,1.81,1.31,11.88,5.55,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Ico Soccer DS release date,,,,,,,
Iconoclasts,PC,Board Game,Sony Computer Entertainment,10,9.5,9,4,7.6,1.14,2.19,5.69,16.62,4.24,2018,"JoakimSandberg,Konjak",Action Adventure;Open-World,87,7.5,1,,#N/A,January 23 2018,23/1/2018,https://www.google.com/search?q=Iconoclasts PC NA release date,2018,1,Yes,1,2,Weekday,4
Idaten Jump DS Moero Flame Kaiser,DS,Racing,IBM,5,5,2,14,1.58,1.34,3.71,1.91,8.54,5.96,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Idaten Jump DS Moero Flame Kaiser DS release date,,,,,,,
Idol Janshi Suchi Pai III Remix,DS,Adventure,Sony Computer Entertainment,3,7,8,24,4.51,3.73,4.78,3.66,16.68,5.2,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Idol Janshi Suchi Pai III Remix DS release date,,,,,,,
Iggle Pop ,PC,Puzzle,Activision,5,1,8,42,4.75,3.45,4.13,6.71,19.04,3,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Iggle Pop  PC release date,,,,,,,
Iggle Pop Deluxe,PC,Puzzle,Sony Computer Entertainment,7,3,7,83,2.36,3.29,1.76,5.14,12.55,1.61,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Iggle Pop Deluxe PC release date,,,,,,,
IGI 2 Covert Strike,PC,Shooter,Activision,5,7,8,249,7.86,3.54,4.39,6.24,22.03,1.93,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IGI 2 Covert Strike PC release date,,,,,,,
Igo o Nintarou ,PS,Puzzle,Frontier Developments,1,5,4,232,5.53,4.36,5.4,6,21.29,1.69,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Igo o Nintarou  PS release date,,,,,,,
Igor The Game,PC,Adventure,Activision,8,9,1,52,3.58,6.66,1.95,3.21,15.4,1.56,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Igor The Game PC release date,,,,,,,
IGPX Immortal Grand Prix,PS2,Racing,Electronic Arts,4,7,10,215,3.8,2.66,3.67,5.72,15.85,3,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IGPX Immortal Grand Prix PS2 release date,,,,,,,
IHRA Drag Racing Sportsman Edition,PC,Racing,Ubisoft,3,6,1,286,6.54,4.3,2.34,3.34,16.52,4.59,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IHRA Drag Racing Sportsman Edition PC release date,,,,,,,
IHRA Drag Racing Sportsman Edition,PS2,Racing,Activision,2,3,4,122,3,0.04,4.8,0.03,4.95,3.57,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IHRA Drag Racing Sportsman Edition PS2 release date,,,,,,,
IHRA Drag Racing 2,PS2,Racing,Electronic Arts,5,4,1,269,1.31,0.64,3.28,0.5,5.73,3.34,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IHRA Drag Racing 2 PS2 release date,,,,,,,
IHRA Professional Drag Racing 2005,PC,Racing,Frontier Developments,4,10,6,105,4.99,3.33,5.62,2.37,16.31,2.28,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IHRA Professional Drag Racing 2005 PC release date,,,,,,,
IHRA Professional Drag Racing 2005,PS2,Racing,Sony Computer Entertainment,2,1,8,143,3,0.09,2.37,0.07,2.72,4.04,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IHRA Professional Drag Racing 2005 PS2 release date,,,,,,,
Ijikuri Mama 2,PC,Adventure,Activision,6,4,6,178,1.24,3.18,1.28,4.92,10.62,3.07,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Ijikuri Mama 2 PC release date,,,,,,,
Ikamono Tantei Ikatan,DS,Adventure,Activision,4,5,7,82,3.04,1.25,5.48,2.15,11.92,4.57,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Ikamono Tantei Ikatan DS release date,,,,,,,
Ikenai Ayaka Neesan to Yari Sugi Yuuwaku Seikatsu,PC,Adventure,Sony Computer Entertainment,8,10,8,93,3.73,1.13,3.25,2.7,10.81,1.51,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Ikenai Ayaka Neesan to Yari Sugi Yuuwaku Seikatsu PC release date,,,,,,,
Ikusa Otome Valkyrie,PC,Adventure,Amazon Game Studios,2,9,2,154,4.72,7.58,3.18,6.08,21.56,0.29,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Ikusa Otome Valkyrie PC release date,,,,,,,
IL 2 Sturmovik,PC,Simulation,Ubisoft,5,1,3,107,3,7.67,2.72,0.01,10.41,0.02,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturmovik PC release date,,,,,,,
IL 2 Sturmovik 1946,PC,Simulation,Ubisoft,3,1,9,133,3,2.84,4.41,0.04,7.33,3.29,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturmovik 1946 PC release date,,,,,,,
IL 2 Sturmovik Birds of Prey,PS,Simulation,Electronic Arts,1,7,8,231,1.45,2.91,3.6,5.25,13.21,5.56,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturmovik Birds of Prey PS release date,,,,,,,
IL 2 Sturmovik Birds of Prey,DS,Simulation,Sony Computer Entertainment,5,5,4,23,3,0.06,4.75,4.51,9.38,1.67,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturmovik Birds of Prey DS release date,,,,,,,
IL 2 Sturmovik Birds of Prey,PS3,Simulation,Activision,10,8,10,83,3,0.34,1.98,0.25,3.26,4.3,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturmovik Birds of Prey PS3 release date,,,,,,,
IL 2 Sturmovik Cliffs of Dover,PC,Simulation,Ubisoft,10,5,3,227,3,6.18,3.87,0.05,10.15,3.09,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturmovik Cliffs of Dover PC release date,,,,,,,
IL 2 Sturmovik Forgotten Battles,PC,Simulation,Ubisoft,2,6,7,163,3,2.55,3.61,0.02,6.2,2.95,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturmovik Forgotten Battles PC release date,,,,,,,
IL 2 Sturmovik Forgotten Battles Ace Expansion Pack,PC,Simulation,Ubisoft,9,10,8,131,5.16,1.93,1.39,1.53,10.01,5.79,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturmovik Forgotten Battles Ace Expansion Pack PC release date,,,,,,,
IL 2 Sturmovik Forgotten Battles Gold Pack,PC,Simulation,Ubisoft,7,6,9,251,4.22,7.72,4.12,4.05,20.11,0.02,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturmovik Forgotten Battles Gold Pack PC release date,,,,,,,
IL 2 Sturmovik Operation Fall Blau,PC,Simulation,Amazon Game Studios,3,7,6,72,2.55,4.64,5.83,3.41,16.43,4.93,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturmovik Operation Fall Blau PC release date,,,,,,,
IL 2 Sturmovik Operation Barbarossa,PC,Simulation,Electronic Arts,3,5,7,70,3.49,1.39,5.96,5.42,16.26,4.51,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturmovik Operation Barbarossa PC release date,,,,,,,
IL 2 Sturmovik Pe 2,PC,Simulation,Ubisoft,2,9,8,63,4.92,6.83,5.89,3.16,20.8,6.48,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturmovik Pe 2 PC release date,,,,,,,
IL 2 Sturmovik Series Complete Edition,PC,Simulation,Ubisoft,3,8,4,155,1.85,5.21,5.51,6.15,18.72,2.85,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturmovik Series Complete Edition PC release date,,,,,,,
IL 2 Sturrmovik WWII Combat Simulator,PC,Simulation,Electronic Arts,4,7,7,153,3.66,1.68,2.44,4.28,12.06,3.83,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IL 2 Sturrmovik WWII Combat Simulator PC release date,,,,,,,
Illust Logic DS  Colorful Logic,DS,Puzzle,Activision,9,6,3,211,7.03,3.3,5.7,2.85,18.88,1.82,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Illust Logic DS  Colorful Logic DS release date,,,,,,,
Im O.K  A Murder Simulator,PC,Shooter,Omega,1,8,5,222,7.38,2.11,2.11,4.84,16.44,4.23,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Im O.K  A Murder Simulator PC release date,,,,,,,
Imabikisou,PS3,Adventure,Amazon Game Studios,4,7,3,268,3,3.28,0.04,4.19,7.55,1.02,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imabikisou PS3 release date,,,,,,,
Imagine Animal Doctor,PC,Simulation,Activision,5,6,4,129,6.79,4.88,2.99,6.88,21.54,4.72,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Animal Doctor PC release date,,,,,,,
Imagine Animal Doctor,DS,Simulation,Ubisoft,9,7,5,288,1.05,0.45,5.09,0.48,7.07,3.46,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Animal Doctor DS release date,,,,,,,
Imagine Babysitters,DS,Simulation,Ubisoft,9,10,7,151,1.09,0.63,1.49,0.36,3.57,6.21,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Babysitters DS release date,,,,,,,
Imagine Babyz,DS,Simulation,Ubisoft,6,3.5,9,179,2.87,1.3,5.08,1.26,10.51,3.93,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Babyz DS release date,,,,,,,
Imagine Babyz Fashion,DS,Simulation,Ubisoft,8,6,1,223,3,0.17,5.37,5.62,11.35,3.6,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Babyz Fashion DS release date,,,,,,,
Imagine Ballet Star,DS,Simulation,Ubisoft,4,10,2,249,3,0.23,2.27,1.73,4.48,6.44,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Ballet Star DS release date,,,,,,,
Imagine Boutique Owner,DS,Simulation,Ubisoft,8,8,1,172,3,0.2,1.45,5.22,7.08,5.87,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Boutique Owner DS release date,,,,,,,
Imagine Champion Rider,PC,Sports,Ubisoft,4,9,4,224,6.84,5.3,1.53,5.84,19.51,1.49,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Champion Rider PC release date,,,,,,,
Imagine Cheerleader,DS,Simulation,Ubisoft,2,7,6,135,3,0.06,1.88,5.14,7.14,1.83,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Cheerleader DS release date,,,,,,,
Imagine Detective,DS,Simulation,Ubisoft,3,1,5,241,3,0.14,2.8,0.01,3.17,5.41,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Detective DS release date,,,,,,,
Imagine Family Doctor,DS,Simulation,Ubisoft,8,2,5,278,3,0.27,5.07,0.01,5.65,3.9,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Family Doctor DS release date,,,,,,,
Imagine Fashion Designer,PC,Simulation,Ubisoft,5,6,3,60,3.91,6.83,3.56,5.16,19.46,4.31,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Fashion Designer PC release date,,,,,,,
Imagine Fashion Designer,DS,Simulation,Ubisoft,10,3,10,217,2.81,1.32,1.68,1.19,7,1.32,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Fashion Designer DS release date,,,,,,,
Imagine Fashion Designer New York,DS,Simulation,Ubisoft,3,5,1,229,1.07,0.65,3.67,0.32,5.71,5.11,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Fashion Designer New York DS release date,,,,,,,
Imagine Fashion Designer World Tour,DS,Simulation,Ubisoft,1,5,6,275,3,0.27,5.06,6,11.62,4.93,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Fashion Designer World Tour DS release date,,,,,,,
Imagine Fashion Stylist,DS,Simulation,Ubisoft,9,10,2,54,3,0.13,3.15,4.49,7.91,1.56,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Fashion Stylist DS release date,,,,,,,
Imagine Figure Skater (US sales),DS,Sports,Ubisoft,10,3,8,122,3,0.46,5.56,0.01,6.49,1.69,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Figure Skater (US sales) DS release date,,,,,,,
Imagine Ice Champions,DS,Sports,Ubisoft,1,10,8,246,3,0.15,5.95,4.7,10.96,2.66,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Ice Champions DS release date,,,,,,,
Imagine Interior Designer,DS,Simulation,Ubisoft,7,1,6,106,3,0.34,1.73,0.31,3.1,5.98,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Interior Designer DS release date,,,,,,,
Imagine Master Chef,DS,Simulation,Ubisoft,8,4,9,51,1.47,0.39,4.42,0.91,7.19,2.43,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Master Chef DS release date,,,,,,,
Imagine Movie Star,DS,Simulation,Ubisoft,6,5,7,18,3,0.31,1.45,4.59,6.69,1.78,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Movie Star DS release date,,,,,,,
Imagine Music Fest,DS,Simulation,Ubisoft,3,10,4,300,3,0.14,3.31,6.03,9.64,6.52,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Music Fest DS release date,,,,,,,
Imagine My Restaurant,DS,Simulation,Ubisoft,9,10,8,277,3,2.19,2.76,0.07,5.1,5.61,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine My Restaurant DS release date,,,,,,,
Imagine Party Planner,DS,Simulation,Ubisoft,6,1,9,41,3,0.05,2.65,6.12,8.87,3.53,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Party Planner DS release date,,,,,,,
Imagine Pet Hospital,PC,Simulation,Sony Computer Entertainment,5,6,5,3,6.09,7.24,5.65,1.8,20.78,4.75,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Pet Hospital PC release date,,,,,,,
Imagine Pet Vet in Australia,PC,Simulation,Ubisoft,9,5,4,158,6.82,5.65,4.45,5.57,22.49,4.75,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Pet Vet in Australia PC release date,,,,,,,
Imagine Reporter,DS,Simulation,Ubisoft,6,5,2,103,3,0.08,5.73,0.01,5.92,4.38,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Reporter DS release date,,,,,,,
Imagine Rock Star,DS,Simulation,Ubisoft,5,1,10,11,3,0.4,4.09,0.33,5.63,6.7,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Rock Star DS release date,,,,,,,
Imagine Salon Stylist,DS,Simulation,Ubisoft,7,4,7,177,3,0.23,5.88,0.11,6.59,3.6,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Salon Stylist DS release date,,,,,,,
Imagine Soccer Captain,DS,Sports,Ubisoft,2,4,1,300,3,0.1,3.27,6.2,9.67,1.76,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Soccer Captain DS release date,,,,,,,
Imagine Sweet 16,DS,Simulation,Ubisoft,10,4,8,256,3,0.02,2.13,6.52,8.7,3,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Sweet 16 DS release date,,,,,,,
Imagine Teacher,DS,Simulation,Ubisoft,6,9,4,201,1.71,0.7,2.3,0.83,5.54,4.21,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Teacher DS release date,,,,,,,
Imagine Teacher Class Trip,DS,Adventure,Amazon Game Studios,9,7,8,180,3,0.1,3.41,0.12,3.87,4.58,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Teacher Class Trip DS release date,,,,,,,
Imagine Wedding Designer,DS,Simulation,Ubisoft,8,1,5,109,1.28,0.55,3.74,0.59,6.16,3.96,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Wedding Designer DS release date,,,,,,,
Imagine Zookeeper,DS,Simulation,Ubisoft,3,4,5,43,3,0.15,5.89,0.06,6.34,2.83,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Zookeeper DS release date,,,,,,,
Imagine Figure Skater (JP sales),DS,Sports,Ubisoft,6,8,5,116,3,3.94,0.01,2.67,6.63,5.48,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Imagine Figure Skater (JP sales) DS release date,,,,,,,
Immortal Legacy The Jade Cipher,PS4,Shooter,Ubisoft,10,8,4,73,1.66,1.43,4.82,1.03,8.94,1.52,2019,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Immortal Legacy The Jade Cipher PS4 release date,,,,,,,
Immortal Redneck,PC,Shooter,IBM,8,1,8,158,7.27,1.57,5.57,6.21,20.62,4.09,2017,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Immortal Redneck PC release date,,,,,,,
In Cold Blood,PC,Adventure,Amazon Game Studios,1,8,8,97,4.09,2.52,2.06,4.16,12.83,5.67,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=In Cold Blood PC release date,,,,,,,
In Cold Blood,PS,Adventure,Sony Computer Entertainment,4,1,2,72,3,0.02,1.27,0.01,1.33,3,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=In Cold Blood PS release date,,,,,,,
In the Valley of Gods,PC,Adventure,Activision,10,9,8,124,2.21,3.85,2.96,6.42,15.44,1.46,2019,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=In the Valley of Gods PC release date,,,,,,,
Incoming,PC,Shooter,Omega,6,4,9,86,7.11,1.98,2.71,3.1,14.9,3.02,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Incoming PC release date,,,,,,,
Incoming Forces,PC,Shooter,Amazon Game Studios,3,4,5,268,3.94,3.62,2.13,2.29,11.98,5.39,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Incoming Forces PC release date,,,,,,,
Inda 999,PC,Adventure,Electronic Arts,5,1,3,276,4.3,5.22,5.59,3.3,18.41,4.68,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Inda 999 PC release date,,,,,,,
Independence War 2 Edge of Chaos,PC,Simulation,Frontier Developments,9,1,9,167,6.53,3.92,4.7,1.85,17,1.22,2001,ParticleSystems,Simulation;Sci-Fi;Space;Large Spaceship;Large Spaceship;Civilian,83,8.4,1,,#N/A,August 28 2001,28/8/2001,https://www.google.com/search?q=Independence War 2 Edge of Chaos PC NA release date,2001,8,Yes,3,2,Weekday,35
Indianapolis 500 Legends,DS,Racing,Frontier Developments,1,8,4,76,3,0.08,3.95,3.63,7.75,1.02,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Indianapolis 500 Legends DS release date,,,,,,,
Indigo Prophecy,PC,Adventure,Electronic Arts,2,4,6,58,3,3.28,5.11,0.02,8.43,6.06,2005,QuanticDream,Adventure;3D;Modern;Third-Person;Modern,85,8.3,1,,#N/A,January 28 2015,28/1/2015,https://www.google.com/search?q=Indigo Prophecy PC NA release date,2015,1,Yes,1,3,Weekday,5
Indigo Prophecy,PS2,Adventure,Ubisoft,4,7,9,69,3,0.07,3.1,0.06,3.38,5.56,2005,QuanticDream,Adventure;Third-Person;Modern,83,7.9,1,,#N/A,1/9/2005,1/9/2005,https://www.google.com/search?q=Indigo Prophecy PS2 NA release date,2005,9,No,3,4,Weekday,36
IndyCar Series,PC,Racing,Electronic Arts,9,6,7,110,4.82,1.95,1.41,4.37,12.55,5.59,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IndyCar Series PC release date,,,,,,,
IndyCar Series,PS2,Racing,Activision,8,4,3,158,3,0.06,2.83,0.05,3.06,3.44,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=IndyCar Series PS2 release date,,,,,,,
Inen no Yakata,PC,Adventure,Electronic Arts,9,9,4,271,5.78,3.31,2.51,1.56,13.16,4.09,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=Inen no Yakata PC release date,,,,,,,
